year,species_code,comp_type,iss_length,region
1996,10261,male,2171.796834221015,bs_shelf
1996,10261,total,3369.182787124105,bs_shelf
1996,10285,female,891.9072902216939,bs_shelf
1996,10285,male,817.1011903206154,bs_shelf
1996,10285,total,1405.730012092691,bs_shelf
1996,21720,female,783.1046296161107,bs_shelf
1996,21720,male,895.7717970136533,bs_shelf
1996,21720,total,1342.7672570339555,bs_shelf
1996,21740,female,1206.3162511539613,bs_shelf
1996,21740,male,1287.1271763736129,bs_shelf
1996,21740,total,1930.1861396345248,bs_shelf
1997,10110,female,1220.7674638826377,bs_shelf
1997,10110,male,435.9248716545676,bs_shelf
1997,10110,total,1480.019786631594,bs_shelf
1997,10112,female,120.24516670221232,bs_shelf
1997,10112,male,126.92529496007252,bs_shelf
1997,10112,total,242.0316162373384,bs_shelf
1997,10115,female,47.70970258537355,bs_shelf
1997,10115,male,26.567213033868388,bs_shelf
1997,10115,total,73.26120527712811,bs_shelf
1997,10130,female,639.3220822802408,bs_shelf
1997,10130,male,818.8887563436879,bs_shelf
1997,10130,total,1172.0600651702723,bs_shelf
1997,10210,female,1982.5716448719968,bs_shelf
1997,10210,male,1380.365459635646,bs_shelf
1997,10210,total,2400.7010318476528,bs_shelf
1997,10261,female,1862.0879425307064,bs_shelf
1997,10261,male,1804.0512726027357,bs_shelf
1997,10261,total,2747.690321462733,bs_shelf
1997,10285,female,1159.3627367561553,bs_shelf
1997,10285,male,1276.4974008809158,bs_shelf
1997,10285,total,2185.7045646696815,bs_shelf
1997,21720,female,831.7481264474612,bs_shelf
1997,21720,male,842.7601904570611,bs_shelf
1997,21720,total,1388.8913912928772,bs_shelf
1997,21740,female,741.1448570566978,bs_shelf
1997,21740,male,747.3402584760219,bs_shelf
1997,21740,total,359.66825699367763,bs_shelf
1998,10110,female,1186.4290059405012,bs_shelf
1998,10110,male,501.1666418816026,bs_shelf
1998,10110,total,1481.6120617882366,bs_shelf
1998,10112,female,214.36590436476783,bs_shelf
1998,10112,male,207.92767983834332,bs_shelf
1998,10112,total,399.1053654623011,bs_shelf
1998,10115,female,113.8341448395429,bs_shelf
1998,10115,male,94.34636295543298,bs_shelf
1998,10115,total,210.17295609050063,bs_shelf
1998,10130,female,1257.009442693056,bs_shelf
1998,10130,male,641.4232678039821,bs_shelf
1998,10130,total,1300.5789778929266,bs_shelf
1998,10210,female,2390.028925781739,bs_shelf
1998,10210,male,1745.9249870044034,bs_shelf
1998,10210,total,3055.2589035234114,bs_shelf
1998,10261,female,2992.8673343849814,bs_shelf
1998,10261,male,2971.3916395847828,bs_shelf
1998,10261,total,4608.608341863055,bs_shelf
1998,10285,female,1114.2022148712715,bs_shelf
1998,10285,male,1093.1755159454283,bs_shelf
1998,10285,total,1694.4569228888142,bs_shelf
1998,21720,female,1292.664245980014,bs_shelf
1998,21720,male,1304.7054313246322,bs_shelf
1998,21720,total,2196.020714275236,bs_shelf
1998,21740,female,1092.4290619767912,bs_shelf
1998,21740,male,1198.648695738315,bs_shelf
1998,21740,total,1538.910813262633,bs_shelf
1999,10110,female,767.3067107069218,bs_shelf
1999,10110,male,394.4531573760848,bs_shelf
1999,10110,total,963.2266842313824,bs_shelf
1999,10112,female,121.37687212970832,bs_shelf
1999,10112,male,97.88213435288694,bs_shelf
1999,10112,total,193.9668318810527,bs_shelf
1999,10115,female,41.31692778156375,bs_shelf
1999,10115,male,27.978909731673937,bs_shelf
1999,10115,total,69.65751009431837,bs_shelf
1999,10130,female,1526.8846189848605,bs_shelf
1999,10130,male,1351.316904304964,bs_shelf
